ER30001,ER30002,ER31996,ER31997,ER33401,ER33402,ER33403,Q1A33,Q1E12A,Q1F12A,Q1G11C,Q1K3A,Q1K3B,Q1K7,Q1K8,Q1K9,Q1K10,Q2A51,ER33601,ER33602,ER33603,Q21A19,Q21A20_2,Q21A23,Q21A24_2,Q21B11A1,Q21B12A1,Q21C7A_1,Q21C7A_2,Q21C7A_3,Q21C7A_4,Q21C7B_1,Q21C7B_2,Q21C7B_3,Q21C7B_4,Q21C10H,Q21C15A,Q21C15B,Q21C21A,Q21C21B,Q21C22H,Q21C27A,Q21C27B,Q21C28H,Q21C33A,Q21C33B,Q21C39A,Q21C39B,Q21G5D,Q21G10C,Q21G21A1,Q21G21A2,Q21H5C,Q21H8B,Q21H22B,Q21H22C,Q21H23A1,Q21H23B1,Q21H23C1,Q21H23D1,Q21H23E1,Q21H23F1,Q21H23G1,Q21H23H1,Q21H24J,Q21H24O,Q21H25J,Q21H25O,Q23L2,Q23L2A,Q23L4A5,ER33901,ER33902,ER33903,Q31B11A1,Q31B11A2,Q31B12A1,Q31B12A2,Q31C15A,Q31C15B,Q31C21A,Q31C21B,Q31C27A,Q31C27B,Q31C33A,Q31C33B,Q31C39A,Q31C39B,Q31H5C,Q31H8B,Q31H22B,Q31H22C,Q31H23A1,Q31H23B1,Q31H23C1,Q31H23D1,Q31H23E1,Q31H23F1,Q31H23G1,Q32JA34,Q33L2,Q33L2A,Q33L3F,Q33L3G,Q33L3H
321,176,19,1,3180,5,30,50,0,0,0,3,3,0,0,0,0,3800,852,5,30,50,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1000,200,25,500,0,0,0,99998,0,0,0,0,0,0,25,1795,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,177,19,1,3180,6,30,300,0,0,0,3,3,0,0,0,0,3800,852,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,500,200,50,500,9998,0,200,99998,0,0,0,0,0,0,0,1795,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,4,17,1,1046,2,20,,,,,,,,,,,,5515,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,5,17,1,1863,1,10,,,,,,,,,,,,4230,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,32,17,1,1046,3,30,30,0,0,0,3,3,0,0,0,0,0,5515,3,30,400,0,50,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,1000,1000,75,500,0,0,0,2100,0,0,0,0,0,0,0,614,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1200,400,1000,99998,0,0,0,0,0,0,0,0
323,33,17,1,1046,4,30,65,0,0,0,3,3,0,0,0,0,0,5515,4,30,100,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,1000,1000,75,500,0,0,0,2100,0,0,0,0,0,0,0,614,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1200,400,1000,0,0,0,1500,0,0,10,0,0
323,34,17,1,1863,3,30,0,0,0,0,3,3,0,0,0,0,,4230,3,30,200,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,150,0,0,0,0,0,0,500,300,50,250,0,0,0,3000,0,0,0,0,,,,44,2,30,0,0,0,0,0,0,0,0,0,0,100,3,1500,6,0,0,20,4,500,500,175,300,0,0,0,200,0,0,99999,99999,99999
323,35,17,1,1863,0,0,,,,,,,,,,,,4230,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,172,17,1,1046,1,10,,,,,,,,,,,,5515,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,173,17,1,1863,2,20,,,,,,,,,,,,4230,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,31,9,2,918,1,10,,,,,,,,,,,,3772,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,33,9,2,918,3,30,30,0,0,0,3,3,0,0,0,0,,3772,3,30,9998,0,9998,0,0,0,300,85,0,0,5,3,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,400,200,50,300,0,0,0,1300,0,0,0,0,,,,1850,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1200,200,500,0,0,0,500,0,0,0,0,0
327,35,9,2,918,0,0,,,,,,,,,,,,3772,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,172,9,2,918,2,20,,,,,,,,,,,,3772,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,4,19,2,6300,1,10,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,31,19,2,6300,3,30,0,0,0,0,3,3,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,33,19,2,6300,4,30,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,34,19,2,6300,5,30,400,0,0,0,3,3,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,172,19,2,6300,2,20,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,30,26,2,1932,1,10,,,,,,,,,,,,478,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,32,26,2,1932,3,30,30,0,0,0,3,3,0,0,0,0,2500,478,3,30,1500,0,100,0,0,0,76,0,0,0,3,0,0,0,5,0,0,0,0,5,5,1,5,0,0,0,0,0,0,0,0,0,200,2,1,400,1000,50,400,0,0,0,800,0,0,0,0,0,0,0,1055,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,300,0,100,500,0,0,0,0,36,2,3,10,15
343,33,26,2,1932,4,30,60,0,0,0,3,3,0,0,0,0,2500,478,4,30,50,0,200,0,0,4500,92,0,0,0,3,0,0,0,5,0,0,0,0,5,5,1,5,0,0,0,0,0,100,1,1,0,0,0,0,500,1000,50,200,0,0,0,99998,0,0,0,0,,,,1055,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,500,0,100,300,0,0,0,500,0,0,0,0,0
343,171,26,2,1932,2,20,,,,,,,,,,,,478,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,4,20,1,1537,1,10,,,,,,,,,,,,2472,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,6,20,1,2636,1,10,,,,,,,,,,,,7113,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,30,20,1,2636,2,30,,,,,,,,,,,,7113,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,31,20,1,2636,3,30,0,0,0,0,2,2,5,5,5,5,,7113,4,33,0,0,60,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,1000,1500,0,0,99998,0,5,0,0,0,0,0,5564,51,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,32,20,1,2636,4,30,0,0,0,0,2,2,5,5,5,5,,7113,5,33,30,0,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,1000,0,0,0,99998,0,5,0,0,0,0,0,5564,52,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,33,20,1,1537,3,30,400,2.5,0,0,3,3,0,0,0,0,4000,2472,3,30,200,0,200,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3000,0,0,300,3000,300,500,0,0,0,1200,0,0,0,0,0,0,0,1114,51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,34,20,1,1537,4,30,300,1.3,0,0,3,3,0,0,0,0,4000,2472,4,30,300,0,300,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,200,0,0,300,0,150,300,0,0,0,1200,0,0,0,0,0,0,0,1114,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,20,30,200,1440,0,400,1200,0,0,5,5,7.5
344,36,20,1,1537,5,30,,,,,,,,,,,,2472,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,178,20,1,1537,2,20,,,,,,,,,,,,2472,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
