ER10002,ER10039,ER10040,ER10041,ER10042,ER10043,ER10044,ER10045,ER10046,ER10047,ER10048,ER10049,ER10050,ER10051,ER10052,ER10053,ER10054,ER10055,ER10056,ER10057,ER10058,ER10060,ER21002,ER21048,ER21049,ER21050,ER21051,ER21052,ER21053,ER21054,ER21055,ER21056,ER21057,ER21058,ER21059,ER21060,ER21061,ER21062,ER21063,ER21064,ER21065,ER21066,ER21067,ER21068,ER21069,ER21070,ER21072,ER22621,S606,S620,ER36002,ER36039,ER36040,ER36041,ER36042,ER36043,ER36044,ER36045,ER36046,ER36047,ER36048,ER36049,ER36050,ER36051,ER36052,ER36053,ER36054,ER36055,ER36056,ER36057,ER36058,ER36059,ER36060,ER36061,ER36062,ER36063,ER36065,ER37620,S806,S820
5772,1,1,0,1,0,30000,0,540,0,8,0,0,0,1980,0,8,0,5,0,1,0,2349,1,1,1,7000,0,500,0,6,500,1980,1,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,143000,667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,350000
2090,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,150000,436,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,250000
,,,,,,,,,,,,,,,,,,,,,,7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,0,0,2121,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60000
2310,1,1,0,2,0,61000,0,794,0,6,0,875,0,1992,0,10,0,5,0,1,0,5201,1,1,2,90000,0,850,0,4,250,2002,14,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,55000,792,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,190000
4028,1,1,0,1,0,64000,0,250,0,10,0,0,0,1985,0,20,0,5,0,5,0,1846,1,7,0,36000,0,600,0,5,0,2002,6,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,79000,1020,1,1,1,40000,0,300,0,8,0,1,2003,10,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,160000
,,,,,,,,,,,,,,,,,,,,,,2300,1,1,2,131000,0,1230,0,4,625,2003,15,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9000,2233,1,1,2,100000,0,1290,0,4,625,1,2003,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,88000
689,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,1,0,7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,1,0
1179,1,1,0,1,0,85000,0,870,0,9,0,0,0,1996,0,29,0,5,0,1,0,3853,1,1,1,81000,0,870,0,6,625,1996,22,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,49000,3621,1,1,2,190000,0,974,0,7,625,2,2007,30,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,59500
681,1,1,0,2,0,56000,0,570,0,8,0,0,0,1990,0,23,0,5,0,1,0,2703,1,1,2,89000,0,780,0,6,0,2002,14,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,161000,2668,1,1,2,60000,0,790,0,4,875,1,2004,13,1,3,0,22000,0,200,0,9,0,2,2004,4,5,0,5,0,268000
